"id","answer","late_answer","playerround_id","question_id"
"1012","3","0","897","38"
"1013","3","0","896","37"
"1014","3","0","896","38"
"1015","1","1","893","37"
"1016","2","1","893","38"
"1017","3","1","890","37"
"1018","4","1","890","38"
"1019","3","0","876","37"
"1020","3","0","876","38"
"1021","4","0","877","37"
"1022","2","0","877","38"
"1023","4","0","880","37"
"1024","4","0","880","38"
"1025","3","0","882","37"
"1026","2","0","882","38"
"1027","5","0","879","37"
"1028","1","0","879","38"
"1029","5","0","875","37"
"1030","4","0","875","38"
"1031","2","0","881","37"
"1032","2","0","881","38"
"1033","3","0","878","37"
"1034","3","0","878","38"
"1035","5","0","887","37"
"1036","1","0","887","38"
"1037","5","0","885","37"
"1038","1","0","885","38"
"1039","3","0","889","37"
"1040","4","0","889","38"
"1041","3","0","883","37"
"1042","1","0","883","38"
"1043","3","0","898","37"
"1044","1","0","898","38"
"1045","4","0","888","37"
"1046","3","0","888","38"
"1047","4","0","884","37"
"1048","2","0","884","38"
"1049","1","1","886","37"
"1050","1","1","886","38"
"1054","1","0","923","37"
"1055","5","0","923","38"
"1056","3","0","914","37"
"1057","3","0","914","38"
"1058","5","1","915","37"
"1059","2","1","915","38"
"1060","3","1","913","37"
"1061","4","1","913","38"
"1062","4","1","922","37"
"1063","2","1","922","38"
"1064","3","0","919","37"
"1065","2","0","919","38"
"1066","4","1","916","37"
"1067","4","1","916","38"
"1068","3","0","918","37"
"1069","1","0","918","38"
"1070","3","0","921","37"
"1071","5","0","921","38"
"1072","4","0","920","37"
"1073","2","0","920","38"
"1074","3","0","917","37"
"1075","4","0","917","38"
